courseID,teacherID,teacherName,commentsURL
91101,7466,Matthew-Moffitt,https://www.applyweb.com/eval/new/showreport?c=91101&i=7466&t=181&r=9&d=true
90302,6139,William-Skinner,https://www.applyweb.com/eval/new/showreport?c=90302&i=6139&t=181&r=9&d=true
91385,1643,Shuishan-Yu,https://www.applyweb.com/eval/new/showreport?c=91385&i=1643&t=181&r=9&d=true
91983,6136,Sara-Hayat,https://www.applyweb.com/eval/new/showreport?c=91983&i=6136&t=181&r=9&d=true
92796,6565,Peter-Minosh,https://www.applyweb.com/eval/new/showreport?c=92796&i=6565&t=181&r=9&d=true
90785,5752,Cara-Michell,https://www.applyweb.com/eval/new/showreport?c=90785&i=5752&t=181&r=9&d=true
92505,2313,Hlanganiso-Mokwete,https://www.applyweb.com/eval/new/showreport?c=92505&i=2313&t=181&r=9&d=true
92506,6532,Humbi-Song,https://www.applyweb.com/eval/new/showreport?c=92506&i=6532&t=181&r=9&d=true
92507,7483,David-White,https://www.applyweb.com/eval/new/showreport?c=92507&i=7483&t=181&r=9&d=true
92744,6550,Thaddeus-Jusczyk,https://www.applyweb.com/eval/new/showreport?c=92744&i=6550&t=181&r=9&d=true
92789,6553,W Gavin-Robb,https://www.applyweb.com/eval/new/showreport?c=92789&i=6553&t=181&r=9&d=true
92634,6595,Sarah-Hirschman,https://www.applyweb.com/eval/new/showreport?c=92634&i=6595&t=181&r=9&d=true
93759,6891,Hans-Papke,https://www.applyweb.com/eval/new/showreport?c=93759&i=6891&t=181&r=9&d=true
89946,6468,Anthony-Averbeck,https://www.applyweb.com/eval/new/showreport?c=89946&i=6468&t=181&r=9&d=true
89945,6096,Wonwoo-Park,https://www.applyweb.com/eval/new/showreport?c=89945&i=6096&t=181&r=9&d=true
92499,1483,Paxton-Sheldahl,https://www.applyweb.com/eval/new/showreport?c=92499&i=1483&t=181&r=9&d=true
93476,6071,Alpha Yacob-Arsano,https://www.applyweb.com/eval/new/showreport?c=93476&i=6071&t=181&r=9&d=true
92500,6468,Anthony-Averbeck,https://www.applyweb.com/eval/new/showreport?c=92500&i=6468&t=181&r=9&d=true
92501,7447,DANIEL-ARONS,https://www.applyweb.com/eval/new/showreport?c=92501&i=7447&t=181&r=9&d=true
92600,7446,fabiana-possamai wills,https://www.applyweb.com/eval/new/showreport?c=92600&i=7446&t=181&r=9&d=true
91527,1643,Shuishan-Yu,https://www.applyweb.com/eval/new/showreport?c=91527&i=1643&t=181&r=9&d=true
93810,365,Lucy-Maulsby,https://www.applyweb.com/eval/new/showreport?c=93810&i=365&t=181&r=9&d=true
91292,365,Lucy-Maulsby,https://www.applyweb.com/eval/new/showreport?c=91292&i=365&t=181&r=9&d=true
90626,6139,William-Skinner,https://www.applyweb.com/eval/new/showreport?c=90626&i=6139&t=181&r=9&d=true
92502,2072,Xavier-Costa,https://www.applyweb.com/eval/new/showreport?c=92502&i=2072&t=181&r=9&d=true
91984,3294,Cammy-Brothers,https://www.applyweb.com/eval/new/showreport?c=91984&i=3294&t=181&r=9&d=true
91528,6136,Sara-Hayat,https://www.applyweb.com/eval/new/showreport?c=91528&i=6136&t=181&r=9&d=true
92635,6540,Alexander-Stewart,https://www.applyweb.com/eval/new/showreport?c=92635&i=6540&t=181&r=9&d=true
93215,926,Marie-Adams,https://www.applyweb.com/eval/new/showreport?c=93215&i=926&t=181&r=9&d=true
93216,7222,Zorana-Matic Isautier,https://www.applyweb.com/eval/new/showreport?c=93216&i=7222&t=181&r=9&d=true
93211,7520,Elizabeth-Yarina,https://www.applyweb.com/eval/new/showreport?c=93211&i=7520&t=181&r=9&d=true
93217,6479,Sarah-Dunbar,https://www.applyweb.com/eval/new/showreport?c=93217&i=6479&t=181&r=9&d=true
93218,5544,Gloria-Chang,https://www.applyweb.com/eval/new/showreport?c=93218&i=5544&t=181&r=9&d=true
93219,7425,Jonathan-Levine,https://www.applyweb.com/eval/new/showreport?c=93219&i=7425&t=181&r=9&d=true
91756,6071,Alpha Yacob-Arsano,https://www.applyweb.com/eval/new/showreport?c=91756&i=6071&t=181&r=9&d=true
91103,7409,Ryan-Welsh,https://www.applyweb.com/eval/new/showreport?c=91103&i=7409&t=181&r=9&d=true
91293,7438,Suprasanna Jagadeeswari-Meda,https://www.applyweb.com/eval/new/showreport?c=91293&i=7438&t=181&r=9&d=true
91529,7438,Suprasanna Jagadeeswari-Meda,https://www.applyweb.com/eval/new/showreport?c=91529&i=7438&t=181&r=9&d=true
92503,7548,Tyler-McEvoy,https://www.applyweb.com/eval/new/showreport?c=92503&i=7548&t=181&r=9&d=true
